seed-corpus soak start 2026-06-16T17:15:09Z dur=28800s img=0.16.0 shape=certificate seeds=2 injector=none
19:16:46 iter=122 chain_txs=0 served=205 cert_tagged=104 cert_real=104 relay2_crit=0 relay2_restart=0 adv_restart=0
19:17:46 iter=123 chain_txs=0 served=207 cert_tagged=105 cert_real=105 relay2_crit=0 relay2_restart=0 adv_restart=0
19:18:46 iter=124 chain_txs=0 served=209 cert_tagged=106 cert_real=106 relay2_crit=0 relay2_restart=0 adv_restart=0
19:19:47 iter=125 chain_txs=0 served=211 cert_tagged=107 cert_real=107 relay2_crit=0 relay2_restart=0 adv_restart=0
19:20:47 iter=126 chain_txs=0 served=211 cert_tagged=107 cert_real=107 relay2_crit=0 relay2_restart=0 adv_restart=0
19:21:47 iter=127 chain_txs=0 served=213 cert_tagged=108 cert_real=108 relay2_crit=0 relay2_restart=0 adv_restart=0
19:22:48 iter=128 chain_txs=0 served=215 cert_tagged=109 cert_real=109 relay2_crit=0 relay2_restart=0 adv_restart=0
19:23:48 iter=129 chain_txs=0 served=217 cert_tagged=110 cert_real=110 relay2_crit=0 relay2_restart=0 adv_restart=0
19:24:48 iter=130 chain_txs=0 served=219 cert_tagged=111 cert_real=111 relay2_crit=0 relay2_restart=0 adv_restart=0
19:25:48 iter=131 chain_txs=0 served=221 cert_tagged=112 cert_real=112 relay2_crit=0 relay2_restart=0 adv_restart=0
19:26:49 iter=132 chain_txs=0 served=223 cert_tagged=113 cert_real=113 relay2_crit=0 relay2_restart=0 adv_restart=0
19:27:49 iter=133 chain_txs=0 served=223 cert_tagged=113 cert_real=113 relay2_crit=0 relay2_restart=0 adv_restart=0
19:28:49 iter=134 chain_txs=0 served=225 cert_tagged=114 cert_real=114 relay2_crit=0 relay2_restart=0 adv_restart=0
19:29:50 iter=135 chain_txs=0 served=227 cert_tagged=115 cert_real=115 relay2_crit=0 relay2_restart=0 adv_restart=0
19:30:50 iter=136 chain_txs=0 served=229 cert_tagged=116 cert_real=116 relay2_crit=0 relay2_restart=0 adv_restart=0
19:31:50 iter=137 chain_txs=0 served=231 cert_tagged=117 cert_real=117 relay2_crit=0 relay2_restart=0 adv_restart=0
19:32:51 iter=138 chain_txs=0 served=233 cert_tagged=118 cert_real=118 relay2_crit=0 relay2_restart=0 adv_restart=0
19:33:51 iter=139 chain_txs=0 served=233 cert_tagged=118 cert_real=118 relay2_crit=0 relay2_restart=0 adv_restart=0
19:34:51 iter=140 chain_txs=0 served=235 cert_tagged=119 cert_real=119 relay2_crit=0 relay2_restart=0 adv_restart=0
19:35:52 iter=141 chain_txs=0 served=237 cert_tagged=120 cert_real=120 relay2_crit=0 relay2_restart=0 adv_restart=0
19:36:52 iter=142 chain_txs=0 served=239 cert_tagged=121 cert_real=121 relay2_crit=0 relay2_restart=0 adv_restart=0
19:37:52 iter=143 chain_txs=0 served=241 cert_tagged=122 cert_real=122 relay2_crit=0 relay2_restart=0 adv_restart=0
19:38:52 iter=144 chain_txs=0 served=243 cert_tagged=123 cert_real=123 relay2_crit=0 relay2_restart=0 adv_restart=0
19:39:53 iter=145 chain_txs=0 served=243 cert_tagged=123 cert_real=123 relay2_crit=0 relay2_restart=0 adv_restart=0
19:40:53 iter=146 chain_txs=0 served=245 cert_tagged=124 cert_real=124 relay2_crit=0 relay2_restart=0 adv_restart=0
19:41:53 iter=147 chain_txs=0 served=247 cert_tagged=125 cert_real=125 relay2_crit=0 relay2_restart=0 adv_restart=0
19:42:54 iter=148 chain_txs=0 served=249 cert_tagged=126 cert_real=126 relay2_crit=0 relay2_restart=0 adv_restart=0
19:43:54 iter=149 chain_txs=0 served=251 cert_tagged=127 cert_real=127 relay2_crit=0 relay2_restart=0 adv_restart=0
19:44:54 iter=150 chain_txs=0 served=253 cert_tagged=128 cert_real=128 relay2_crit=0 relay2_restart=0 adv_restart=0
19:45:55 iter=151 chain_txs=0 served=253 cert_tagged=128 cert_real=128 relay2_crit=0 relay2_restart=0 adv_restart=0
19:46:55 iter=152 chain_txs=0 served=255 cert_tagged=129 cert_real=129 relay2_crit=0 relay2_restart=0 adv_restart=0
19:47:55 iter=153 chain_txs=0 served=257 cert_tagged=130 cert_real=130 relay2_crit=0 relay2_restart=0 adv_restart=0
19:48:55 iter=154 chain_txs=0 served=259 cert_tagged=131 cert_real=131 relay2_crit=0 relay2_restart=0 adv_restart=0
19:49:56 iter=155 chain_txs=0 served=261 cert_tagged=132 cert_real=132 relay2_crit=0 relay2_restart=0 adv_restart=0
19:50:56 iter=156 chain_txs=0 served=263 cert_tagged=133 cert_real=133 relay2_crit=0 relay2_restart=0 adv_restart=0
19:51:56 iter=157 chain_txs=0 served=263 cert_tagged=133 cert_real=133 relay2_crit=0 relay2_restart=0 adv_restart=0
19:52:57 iter=158 chain_txs=0 served=265 cert_tagged=134 cert_real=134 relay2_crit=0 relay2_restart=0 adv_restart=0
19:53:57 iter=159 chain_txs=0 served=267 cert_tagged=135 cert_real=135 relay2_crit=0 relay2_restart=0 adv_restart=0
19:54:57 iter=160 chain_txs=0 served=269 cert_tagged=136 cert_real=136 relay2_crit=0 relay2_restart=0 adv_restart=0
19:55:58 iter=161 chain_txs=0 served=271 cert_tagged=137 cert_real=137 relay2_crit=0 relay2_restart=0 adv_restart=0
19:56:58 iter=162 chain_txs=0 served=273 cert_tagged=138 cert_real=138 relay2_crit=0 relay2_restart=0 adv_restart=0
19:57:58 iter=163 chain_txs=0 served=273 cert_tagged=138 cert_real=138 relay2_crit=0 relay2_restart=0 adv_restart=0
19:58:59 iter=164 chain_txs=0 served=275 cert_tagged=139 cert_real=139 relay2_crit=0 relay2_restart=0 adv_restart=0
19:59:59 iter=165 chain_txs=0 served=277 cert_tagged=140 cert_real=140 relay2_crit=0 relay2_restart=0 adv_restart=0
20:00:59 iter=166 chain_txs=0 served=279 cert_tagged=141 cert_real=141 relay2_crit=0 relay2_restart=0 adv_restart=0
20:01:59 iter=167 chain_txs=0 served=281 cert_tagged=142 cert_real=142 relay2_crit=0 relay2_restart=0 adv_restart=0
20:03:00 iter=168 chain_txs=0 served=283 cert_tagged=143 cert_real=143 relay2_crit=0 relay2_restart=0 adv_restart=0
20:04:00 iter=169 chain_txs=0 served=283 cert_tagged=143 cert_real=143 relay2_crit=0 relay2_restart=0 adv_restart=0
20:05:00 iter=170 chain_txs=0 served=285 cert_tagged=144 cert_real=144 relay2_crit=0 relay2_restart=0 adv_restart=0
20:06:01 iter=171 chain_txs=0 served=287 cert_tagged=145 cert_real=145 relay2_crit=0 relay2_restart=0 adv_restart=0
20:07:01 iter=172 chain_txs=0 served=289 cert_tagged=146 cert_real=146 relay2_crit=0 relay2_restart=0 adv_restart=0
20:08:01 iter=173 chain_txs=0 served=291 cert_tagged=147 cert_real=147 relay2_crit=0 relay2_restart=0 adv_restart=0
20:09:02 iter=174 chain_txs=0 served=293 cert_tagged=148 cert_real=148 relay2_crit=0 relay2_restart=0 adv_restart=0
20:10:02 iter=175 chain_txs=0 served=293 cert_tagged=148 cert_real=148 relay2_crit=0 relay2_restart=0 adv_restart=0
20:11:02 iter=176 chain_txs=0 served=295 cert_tagged=149 cert_real=149 relay2_crit=0 relay2_restart=0 adv_restart=0
20:12:03 iter=177 chain_txs=0 served=297 cert_tagged=150 cert_real=150 relay2_crit=0 relay2_restart=0 adv_restart=0
20:13:03 iter=178 chain_txs=0 served=299 cert_tagged=151 cert_real=151 relay2_crit=0 relay2_restart=0 adv_restart=0
20:14:03 iter=179 chain_txs=0 served=301 cert_tagged=152 cert_real=152 relay2_crit=0 relay2_restart=0 adv_restart=0
20:15:03 iter=180 chain_txs=0 served=303 cert_tagged=153 cert_real=153 relay2_crit=0 relay2_restart=0 adv_restart=0
20:16:04 iter=181 chain_txs=0 served=303 cert_tagged=153 cert_real=153 relay2_crit=0 relay2_restart=0 adv_restart=0
20:17:04 iter=182 chain_txs=0 served=305 cert_tagged=154 cert_real=154 relay2_crit=0 relay2_restart=0 adv_restart=0
20:18:04 iter=183 chain_txs=0 served=307 cert_tagged=155 cert_real=155 relay2_crit=0 relay2_restart=0 adv_restart=0
20:19:05 iter=184 chain_txs=0 served=309 cert_tagged=156 cert_real=156 relay2_crit=0 relay2_restart=0 adv_restart=0
20:20:05 iter=185 chain_txs=0 served=311 cert_tagged=157 cert_real=157 relay2_crit=0 relay2_restart=0 adv_restart=0
20:21:05 iter=186 chain_txs=0 served=313 cert_tagged=158 cert_real=158 relay2_crit=0 relay2_restart=0 adv_restart=0
