pp.tau.str	REJECT	1	0.02	InstantiationError
pp.tau.tiny	REJECT	1	0.02	InstantiationError
pp.tau.zero	ACCEPT	124	3.02	not-rejected(3s)
top.activeSlotsCoeff.big63	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.big64	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.bool	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.emptystr	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.float	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.half	ACCEPT	124	3.03	not-rejected(3s)
top.activeSlotsCoeff.huge	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.missing	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.neg1	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.negf	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.null	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.one	ACCEPT	124	3.02	not-rejected(3s)
top.activeSlotsCoeff.sci	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.str	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.tiny	REJECT	1	0.02	InstantiationError
top.activeSlotsCoeff.zero	REJECT	1	0.02	InstantiationError
top.epochLength.big63	ACCEPT	124	3.02	not-rejected(3s)
top.epochLength.big64	REJECT	1	0.02	InstantiationError
top.epochLength.bool	REJECT	1	0.02	InstantiationError
top.epochLength.emptystr	REJECT	1	0.02	InstantiationError
top.epochLength.float	REJECT	1	0.02	InstantiationError
top.epochLength.half	REJECT	1	0.02	InstantiationError
top.epochLength.huge	REJECT	1	0.02	InstantiationError
top.epochLength.missing	REJECT	1	0.02	InstantiationError
top.epochLength.neg1	REJECT	1	0.02	InstantiationError
top.epochLength.negf	REJECT	1	0.02	InstantiationError
top.epochLength.null	REJECT	1	0.02	InstantiationError
top.epochLength.one	ACCEPT	124	3.03	not-rejected(3s)
top.epochLength.sci	ACCEPT	124	3.02	not-rejected(3s)
top.epochLength.str	REJECT	1	0.02	InstantiationError
top.epochLength.tiny	REJECT	1	0.02	InstantiationError
top.epochLength.zero	CRASH	1	0.14	divide by zero
top.genDelegs.big63	REJECT	1	0.02	InstantiationError
top.genDelegs.big64	REJECT	1	0.02	InstantiationError
top.genDelegs.bool	REJECT	1	0.02	InstantiationError
top.genDelegs.emptystr	REJECT	1	0.02	InstantiationError
top.genDelegs.float	REJECT	1	0.02	InstantiationError
top.genDelegs.half	REJECT	1	0.02	InstantiationError
top.genDelegs.huge	REJECT	1	0.02	InstantiationError
top.genDelegs.missing	REJECT	1	0.02	InstantiationError
top.genDelegs.neg1	REJECT	1	0.02	InstantiationError
top.genDelegs.negf	REJECT	1	0.02	InstantiationError
top.genDelegs.null	REJECT	1	0.02	InstantiationError
top.genDelegs.one	REJECT	1	0.02	InstantiationError
top.genDelegs.sci	REJECT	1	0.02	InstantiationError
top.genDelegs.str	REJECT	1	0.02	InstantiationError
top.genDelegs.tiny	REJECT	1	0.02	InstantiationError
top.genDelegs.zero	REJECT	1	0.02	InstantiationError
top.initialFunds.big63	REJECT	1	0.02	InstantiationError
top.initialFunds.big64	REJECT	1	0.02	InstantiationError
top.initialFunds.bool	REJECT	1	0.02	InstantiationError
top.initialFunds.emptystr	REJECT	1	0.02	InstantiationError
top.initialFunds.float	REJECT	1	0.02	InstantiationError
top.initialFunds.half	REJECT	1	0.02	InstantiationError
top.initialFunds.huge	REJECT	1	0.02	InstantiationError
top.initialFunds.missing	REJECT	1	0.02	InstantiationError
top.initialFunds.neg1	REJECT	1	0.02	InstantiationError
top.initialFunds.negf	REJECT	1	0.02	InstantiationError
top.initialFunds.null	REJECT	1	0.02	InstantiationError
top.initialFunds.one	REJECT	1	0.02	InstantiationError
top.initialFunds.sci	REJECT	1	0.02	InstantiationError
top.initialFunds.str	REJECT	1	0.02	InstantiationError
top.initialFunds.tiny	REJECT	1	0.02	InstantiationError
top.initialFunds.zero	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.big63	ACCEPT	124	3.02	not-rejected(3s)
top.maxKESEvolutions.big64	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.bool	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.emptystr	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.float	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.half	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.huge	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.missing	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.neg1	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.negf	REJECT	1	0.02	InstantiationError
top.maxKESEvolutions.null	REJECT	1	0.02	InstantiationError
