[dwarf-cov] surface=txsub seconds=28800 corpus=/opt/corpora/txsub
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 4 seeds.
    len = 2, map size = 191, exec speed = 11478 us, hash = 53d086b56b16cb97
    len = 7, map size = 225, exec speed = 12384 us, hash = ac7ad1589136e34c
    len = 7, map size = 225, exec speed = 12507 us, hash = 81b6402e7d8c7e72
    len = 3, map size = 193, exec speed = 12335 us, hash = 6a95eb4d287dfaf0
[+] All set and ready to roll!
[*] Fuzzing test case #233 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=400, weight=0, favorite=1, was_fuzzed=1, exec_us=12169, hits=0, map=214, ascii=0, run_time=0:05:20:22, cvg=0.06%) FS (t=0:00:00:25 (0.13%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #37 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12024, hits=0, map=193, ascii=0, run_time=0:05:25:31, cvg=0.06%) FS (t=0:00:00:25 (0.13%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #216 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=12013, hits=0, map=201, ascii=0, run_time=0:05:30:35, cvg=0.06%) FS (t=0:00:00:25 (0.13%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #68 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12071, hits=0, map=179, ascii=0, run_time=0:05:35:53, cvg=0.06%) FS (t=0:00:00:25 (0.13%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #10 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12092, hits=0, map=191, ascii=0, run_time=0:05:41:04, cvg=0.06%) FS (t=0:00:00:25 (0.13%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #216 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=12013, hits=0, map=201, ascii=0, run_time=0:05:46:22, cvg=0.06%) FS (t=0:00:00:25 (0.12%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #58 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12035, hits=0, map=193, ascii=0, run_time=0:05:51:28, cvg=0.06%) FS (t=0:00:00:25 (0.12%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #212 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=200, weight=0, favorite=1, was_fuzzed=1, exec_us=12267, hits=0, map=225, ascii=0, run_time=0:05:56:39, cvg=0.06%) FS (t=0:00:00:25 (0.12%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #107 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12128, hits=0, map=168, ascii=0, run_time=0:06:01:51, cvg=0.06%) FS (t=0:00:00:25 (0.12%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #146 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12283, hits=0, map=229, ascii=0, run_time=0:06:06:58, cvg=0.06%) FS (t=0:00:00:25 (0.12%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #66 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12072, hits=0, map=178, ascii=0, run_time=0:06:12:05, cvg=0.06%) FS (t=0:00:00:25 (0.12%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #419 (474 total, 0 crashes saved, state: in progress, mode=explore, perf_score=1800, weight=1, favorite=1, was_fuzzed=1, exec_us=12184, hits=0, map=675, ascii=0, run_time=0:07:15:54, cvg=0.12%) FS (t=0:00:02:26 (0.56%), st=12094, avg=328 ms, found=62/445)...
[*] Fuzzing test case #156 (481 total, 0 crashes saved, state: in progress, mode=explore, perf_score=75, weight=0, favorite=1, was_fuzzed=1, exec_us=12097, hits=0, map=205, ascii=0, run_time=0:07:41:39, cvg=0.12%) FS (t=0:00:02:59 (0.65%), st=14902, avg=384 ms, found=74/468)...
[*] Fuzzing test case #105 (481 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=50, weight=0, favorite=1, was_fuzzed=1, exec_us=12101, hits=0, map=170, ascii=0, run_time=0:07:59:25, cvg=0.12%) FS (t=0:00:03:00 (0.63%), st=14917, avg=382 ms, found=74/471)...
