[dwarf-cov] surface=keepalive seconds=28800 corpus=/opt/corpora/keepalive
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 4 seeds.
    len = 2, map size = 183, exec speed = 12789 us, hash = ab54d88dc6a919bb
    len = 5, map size = 183, exec speed = 12239 us, hash = 3c258ed9f4351ee2
    len = 5, map size = 210, exec speed = 12357 us, hash = 379f6e009a5a38dd
    len = 5, map size = 210, exec speed = 12391 us, hash = 379f6e009a5a38dd
[+] All set and ready to roll!
[*] Fuzzing test case #98 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12041, hits=0, map=162, ascii=0, run_time=0:04:43:03, cvg=0.05%) FS (t=0:00:00:12 (0.07%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #120 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12381, hits=0, map=204, ascii=0, run_time=0:04:48:02, cvg=0.05%) FS (t=0:00:00:12 (0.07%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #167 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11801, hits=0, map=204, ascii=0, run_time=0:04:53:01, cvg=0.05%) FS (t=0:00:00:12 (0.07%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #84 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11948, hits=0, map=181, ascii=0, run_time=0:04:57:59, cvg=0.05%) FS (t=0:00:00:12 (0.07%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #149 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12188, hits=0, map=183, ascii=0, run_time=0:05:02:57, cvg=0.05%) FS (t=0:00:00:12 (0.07%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #136 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12329, hits=0, map=204, ascii=0, run_time=0:05:07:56, cvg=0.05%) FS (t=0:00:00:12 (0.07%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #72 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12216, hits=0, map=174, ascii=0, run_time=0:05:12:54, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #85 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12099, hits=0, map=161, ascii=0, run_time=0:05:17:53, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #42 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12019, hits=0, map=173, ascii=0, run_time=0:05:22:51, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #72 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12216, hits=0, map=174, ascii=0, run_time=0:05:27:50, cvg=0.05%) FS (t=0:00:00:12 (0.06%), st=995, avg=70 ms, found=0/172)...
